"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J4,J3,J7,J1,J5,J6";"TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal";6;"Screw_Terminal_01x02_P5mm";;;
2;"J2";"Barrel_Jack_PTH";1;"Barrel_Jack_PTH";;;
3;"BMS1";"3S-BMS";1;"~";;;
